rank,asin,url,title,brand,price,price_text,rating,review_count,date_first_available_raw,bsr_rank_text,style_category,color_variant_count,date_parsed,year,month,month_name,style
29,B085G81NF7,https://www.amazon.com/dp/B085G81NF7,"QUALFORT Women's 100% Cotton Sweater, Basic Lightweight Long Sleeve Pullover",QUALFORT,59.0,"$19
99",4.3,4517,"March 4, 2020","#2,091 in Clothing",Pullover / Crew Neck,15,2020-03-04,2020,3,March,Pullover/Crew Neck
30,B0BXWNXYYB,https://www.amazon.com/dp/B0BXWNXYYB,Argstar Women's 3/4 Sleeve Cardigan (S-3XL),Argstar,55.5,"$12
99",4.2,3463,"April 9, 2023","#1,923 in Clothing",Cardigan,14,2023-04-09,2023,4,April,Cardigan
31,B0D2NSKSY7,https://www.amazon.com/dp/B0D2NSKSY7,PRETTYGARDEN Womens Long Sleeve Quarter Zip Pullover Sweater Casual Loose V Neck Collared Ribbed Knit Jumper Tops Thumb Hole,PRETTYGARDEN,66.0,"$34
98",4.5,2734,"April 25, 2024","#3,117 in Clothing",Pullover / Crew Neck,14,2024-04-25,2024,4,April,V-Neck Sweater
32,B0DYCPFS6Y,https://www.amazon.com/dp/B0DYCPFS6Y,YSYOKOW Womens Open Front Long Cardigan 3/4 Sleeve Lightweight Knit Cardigan Casual Layering Spring Summer,YSYOKOW,8.5,"$8
09",4.3,214,"March 27, 2025","#2,960 in Clothing",Cardigan,15,2025-03-27,2025,3,March,Cardigan
33,B09MLD4LCZ,https://www.amazon.com/dp/B09MLD4LCZ,Mafulus Women's Crochet Cardigan Kimono Boho Long Sleeve Lightweight Soft Oversized Open Front Knitted Sweater,Mafulus,63.5,"$29
98",4.2,3869,"April 15, 2020","#3,096 in Clothing",Cardigan,12,2020-04-15,2020,4,April,Cardigan
34,B0FCLL8CDQ,https://www.amazon.com/dp/B0FCLL8CDQ,Springrain Cardigan Sweaters for Women Lightweight Knit Cropped Cardigan Button Up Solid Knitwear,Springrain,62.5,"$26
99",4.1,182,"June 10, 2025","#2,963 in Clothing",Cardigan,15,2025-06-10,2025,6,June,Cardigan
35,B0F4D4QZBX,https://www.amazon.com/dp/B0F4D4QZBX,Trendy Queen Lightweight Cardigan Sweaters for Women,Trendy Queen,67.0,"$35
99",4.5,966,"April 10, 2025","#3,184 in Clothing",Cardigan,11,2025-04-10,2025,4,April,Cardigan
36,B0DMF5D7QN,https://www.amazon.com/dp/B0DMF5D7QN,Dokotoo Womens Floral Fashion Summer Tops 2026 Short Sleeve Crochet Sweaters Swimsuit Cover Ups Lightweight Knit Pullover,Dokotoo,63.5,"$28
99",4.6,715,"December 31, 2024","#2,583 in Clothing",Pullover / Crew Neck,14,2024-12-31,2024,12,December,Pullover/Crew Neck
37,B0D8475BJ9,https://www.amazon.com/dp/B0D8475BJ9,GRACE KARIN Womens Long Sleeve Button Up Cable Knit Cardigan Lightweight 2026 Crewneck Button Down Sweaters for Women,GRACE KARIN,60.5,"$22
99",4.6,879,"July 12, 2024","#3,400 in Clothing",Cardigan,15,2024-07-12,2024,7,July,Cable Knit
38,B0FY2ZXHGK,https://www.amazon.com/dp/B0FY2ZXHGK,Dokotoo Women's Casual V Neck Short Sleeve Sweater Ribbed Knit Lightweight Sweaters Tops Fashion Clothing Outfits,Dokotoo,55.0,"$22
88",4.3,123,"October 28, 2025","#3,173 in Clothing",V-Neck,15,2025-10-28,2025,10,October,V-Neck Sweater
39,B0DT952BVG,https://www.amazon.com/dp/B0DT952BVG,Women's Cropped Cardigan Sweaters Crew Neck Button Down Open Front Knit Bolero Shrugs,Casuashion,59.0,"$19
99",4.4,397,"January 17, 2025","#3,431 in Clothing",Cardigan,14,2025-01-17,2025,1,January,Cardigan
