rank,asin,url,title,brand,price,price_text,rating,review_count,date_first_available_raw,style_category,fit_type,sleeve_type,color_variant_count
41,B0BW2Z7CC8,https://www.amazon.com/dp/B0BW2Z7CC8,Abardsion Women's Casual Basic Going Out Crop Tops Slim Fit Short Sleeve Crew Neck Tight T Shirts 2026,Abardsion,9.99,$9.99,4.4,6368,"February 17, 2023",Crop Top,Fitted/Slim,Crop,13
42,B0FR91VPJQ,https://www.amazon.com/dp/B0FR91VPJQ,WIHOLL Womens Tops Dressy Casual Petal Sleeve Summer Spring Short Sleeve V Neck Shirts Work Business Vacation Clothes 2026,WIHOLL,8.98,$8.98,4.5,267,"November 20, 2025",V-Neck T-Shirt,Regular,Short Sleeve,12
43,B0DJ2ZJMY1,https://www.amazon.com/dp/B0DJ2ZJMY1,ANRABESS Women Short Sleeve Crewneck Ribbed Knit Slim Fitted Shirts Summer Tops Basic Tee Casual 2026 Spring Outfits Clothes,ANRABESS,8.99,$8.99,4.5,1797,"November 1, 2024",Fitted / Slim Tee,Fitted/Slim,Short Sleeve,13
44,B0D1VDZ6JS,https://www.amazon.com/dp/B0D1VDZ6JS,YEOREO Women Fitted Workout Tops Short Sleeve Double Lined Basic Y2K Going Out Crew Neck Compression Crop Top,YEOREO,17.99,$17.99,4.5,1237,"May 20, 2024",Crop Top,Fitted/Slim,Crop,12
45,B0DKT4GLTS,https://www.amazon.com/dp/B0DKT4GLTS,WIHOLL Womens T Shirts Loose Fit Short Sleeve Tees Crew Neck Color Block Summer Tops 2026 Fashion,WIHOLL,7.98,$7.98,4.5,3368,"December 18, 2024",Oversized / Relaxed Fit,Loose/Oversized,Short Sleeve,11
46,B0DJT95HTV,https://www.amazon.com/dp/B0DJT95HTV,Tankaneo Womens Oversized Tshirts Summer Casual Short Sleeve Crew Neck T Shirt Loose Fit Side Slit Tee Tops,Tankaneo,12.98,$12.98,4.1,883,"December 30, 2024",Tank Top / Sleeveless,Loose/Oversized,Sleeveless,13
47,B0CT3FHSTP,https://www.amazon.com/dp/B0CT3FHSTP,Memorose Womens Short Sleeve Tops Summer T Shirts Round Neck Causal Fashion Basic Tee,Memorose,8.99,$8.99,4.5,2880,"May 7, 2024",Basic / Essential Tee,Regular,Short Sleeve,12
48,B0C42MBGYM,https://www.amazon.com/dp/B0C42MBGYM,Tankaneo Womens Short Sleeve Cropped T-Shirts Summer Rolled Dolman Sleeve Crop Tops Casual Round Neck Solid Short Basic Tees,Tankaneo,9.98,$9.98,4.5,1330,"May 2, 2023",Tank Top / Sleeveless,Regular,Sleeveless,12
49,B0D4YCXF8Q,https://www.amazon.com/dp/B0D4YCXF8Q,AUTOMET Women's Ribbed Long Sleeve Basic Top - Soft Stretch Crewneck Shirt for Work & Casual,AUTOMET,7.99,$7.99,4.5,4638,"May 23, 2024",Long Sleeve T-Shirt,Regular,Long Sleeve,13
50,B0CXJ9B3JQ,https://www.amazon.com/dp/B0CXJ9B3JQ,"AUTOMET Women's Oversized Short Sleeve T Shirts Casual Drop Shoulder Rolled Cuff Summer Tops for Work, Travel and Lounge",AUTOMET,9.99,$9.99,4.4,5326,"March 8, 2024",Oversized / Relaxed Fit,Loose/Oversized,Short Sleeve,13
51,B095PL9XVP,https://www.amazon.com/dp/B095PL9XVP,Tankaneo Women Half Sleeve Cropped T-Shirts Drop Shoulder Round Neck Crop Tops Casual Summer Solid Color Basic Tees,Tankaneo,13.98,$13.98,4.3,5654,"May 24, 2021",Tank Top / Sleeveless,Regular,Sleeveless,11
52,B0CTH3VGWJ,https://www.amazon.com/dp/B0CTH3VGWJ,XIEERDUO Cotton Tshirts for Women Drop Shoulder Round Neck Oversized Crop Tops Workout Tops Tees,XIEERDUO,14.99,$14.99,4.5,1060,"December 10, 2023",Crop Top,Loose/Oversized,Crop,10
53,B0DSC6NHZP,https://www.amazon.com/dp/B0DSC6NHZP,GAYHAY Shirts for Women - Slim Fit Short Sleeve Crop Top Crew Neck Casual Basic Tees Spring Summer Fashion Clothing 2026,GAYHAY,6.98,$6.98,4.4,751,"May 21, 2025",Crop Top,Fitted/Slim,Crop,11
54,B09NM4M3N9,https://www.amazon.com/dp/B09NM4M3N9,PRETTYGARDEN Women's Short Sleeve Casual T Shirts Summer Ruffle Plain Round Neck Loose Fit Tee Blouse Tops,PRETTYGARDEN,10.43,$10.43,4.3,7620,"January 7, 2022",Oversized / Relaxed Fit,Loose/Oversized,Short Sleeve,13
55,B0DP23SNG6,https://www.amazon.com/dp/B0DP23SNG6,OFEEFAN Womens T Shirts Short Sleeve Tops Dressy Casual Blouses Spring Summer Outfits Flowy Pleated Front Scooped Neck,OFEEFAN,9.99,$9.99,4.4,9385,"November 4, 2024",Other T-Shirt,Loose/Oversized,Short Sleeve,11
56,B0BBL187VL,https://www.amazon.com/dp/B0BBL187VL,Women's Oversize Workout Crop Tops Casual Short Sleeve Drop Shoulder Boxy T-Shirts Roll Hem Basic Loose Yoga Running Tees,HUGOOME,14.99,$14.99,4.4,2296,"August 23, 2022",Crop Top,Loose/Oversized,Crop,10
57,B0DHQLDX43,https://www.amazon.com/dp/B0DHQLDX43,Dokotoo Womens Summer Tops 2026 Striped Color Block Short Sleeve Fashion T-Shirts Crewneck Casual Loose Basic Tee Blouses,Dokotoo,14.98,$14.98,4.2,1232,"November 11, 2024",Oversized / Relaxed Fit,Loose/Oversized,Short Sleeve,13
58,B0CGRCBKVX,https://www.amazon.com/dp/B0CGRCBKVX,ATHMILE Womens Oversized T Shirts Casual Tee Workout Tops Gym Clothes Summer Loose Fit Short Sleeve Graphics Basic Y2K 2026,ATHMILE,9.99,$9.99,4.5,5250,"November 13, 2023",Graphic/Print Tee,Loose/Oversized,Short Sleeve,13
59,B0FXGFF55M,https://www.amazon.com/dp/B0FXGFF55M,SHEWIN Women's Summer Tops V Neck Short Sleeve T-Shirts Colorblock Casual Tees 2026 Clothes,SHEWIN,9.99,$9.99,4.1,170,"October 23, 2025",V-Neck T-Shirt,Regular,Short Sleeve,13
60,B0DQBZ537S,https://www.amazon.com/dp/B0DQBZ537S,Dalavch 6 Pack Women's Crop Top Short Sleeve Athletic Workout Yoga Running Gym Casual Tees T-Shirts Loose Fit,Dalavch,33.28,$33.28,4.7,1018,"June 24, 2024",Crop Top,Loose/Oversized,Crop,12
